"Gene","VIF","CV"
"1113",54.7213411892961,1.58656534406631
"84063",51.2522733467464,1.65571893500592
"50632",3.74643269913582,1.65026141294923
"9543",3.32700963337243,1.46851927107925
"10942",3.29944273746826,1.4751238612205
"793",3.28378166942689,1.52244961275144
"4747",3.11838909712315,1.66114601351857
"1114",3.10908706855955,1.46837617653876
"127534",2.78796194966182,1.49014733544963
"339855",2.66216226152389,1.4957330816713
"1272",2.58993136177382,1.53415818639164
"3769",2.5356759541529,1.53778713577048
"340273",2.41879018159218,1.45887659035633
"26074",2.36542309007882,1.48142719405436
"7425",2.13372476662879,1.55113840408866
"7179",2.12607403297724,1.53698707997544
"51252",2.09906346310401,1.55685642914263
"655",2.09705752987825,1.58015333076458
"3219",2.09155290118017,1.50105864325665
"4111",1.91247564455824,1.53012010741967
"84634",1.90831107423927,1.49042930556439
"7278",1.75114519147445,1.59803225185737
"253868",1.70669490236421,1.48817205176432
"10562",1.64445439066927,1.55735268820308
"3359",1.53373970531428,1.53102490131769
"64208",1.47595348918583,1.67480112552308
"80258",1.36958077280889,1.50568097145131
"6866",1.36175143015416,1.54386222762699
"248",1.36078895764272,1.4635140003552
"139728",1.34901668981465,1.47431140289737
"5196",1.34064075306687,1.46474836269871
"1280",1.33518357137059,1.5112884197994
"57094",1.26636479461946,1.53798340085307
"343263",1.23667436195332,1.53231750171715
"92737",1.22732156858391,1.60557243257531
"10232",1.22499558489597,1.55002813303099
"2913",1.21733964413458,1.56232503667852
"90632",1.21385625069256,1.57853580855001
"51207",1.20735689967842,1.53742748794581
"81033",1.17213564791099,1.58117360723018
"2676",1.15488263763598,1.50104448818574
"7031",1.15184652355657,1.50186905454797
"1081",1.13904897056234,1.47147989171784
"51146",1.12189532032123,1.51319225093698
"78997",1.11009817358246,1.48629264759702
"93426",1.1017436032956,1.60643110659926
"401562",1.07503314377336,1.47359984758982
"3222",1.06973902544399,1.50291858188438
"7047",1.0352878578827,1.51362276633008
"10321",1.03524294512202,1.53905509076963
