"Gene","VIF","CV"
"64208",1.47595348918584,1.67480112552308
"4747",3.11838909712316,1.66114601351857
"84063",51.2522733467465,1.65571893500592
"50632",3.74643269913582,1.65026141294923
"93426",1.1017436032956,1.60643110659926
"92737",1.22732156858391,1.60557243257531
"7278",1.75114519147445,1.59803225185737
"1113",54.7213411892962,1.58656534406631
"81033",1.17213564791099,1.58117360723018
"655",2.09705752987826,1.58015333076458
"90632",1.21385625069256,1.57853580855001
"2913",1.21733964413458,1.56232503667852
"10562",1.64445439066928,1.55735268820308
"51252",2.09906346310402,1.55685642914263
"7425",2.1337247666288,1.55113840408866
"10232",1.22499558489597,1.55002813303099
"6866",1.36175143015416,1.54386222762699
"10321",1.03524294512202,1.53905509076963
"57094",1.26636479461947,1.53798340085307
"3769",2.5356759541529,1.53778713577048
"51207",1.20735689967842,1.53742748794581
"7179",2.12607403297724,1.53698707997544
"1272",2.58993136177383,1.53415818639164
"343263",1.23667436195332,1.53231750171715
"3359",1.53373970531428,1.53102490131769
"4111",1.91247564455824,1.53012010741967
"793",3.28378166942689,1.52244961275144
"7047",1.03528785788271,1.51362276633008
"51146",1.12189532032123,1.51319225093698
"1280",1.33518357137059,1.5112884197994
"80258",1.36958077280889,1.50568097145131
"3222",1.06973902544399,1.50291858188438
"7031",1.15184652355658,1.50186905454797
"3219",2.09155290118018,1.50105864325665
"2676",1.15488263763598,1.50104448818574
"339855",2.66216226152389,1.4957330816713
"84634",1.90831107423928,1.49042930556439
"127534",2.78796194966182,1.49014733544963
"253868",1.70669490236421,1.48817205176432
"78997",1.11009817358246,1.48629264759702
"26074",2.36542309007882,1.48142719405436
"10942",3.29944273746826,1.4751238612205
"139728",1.34901668981465,1.47431140289737
"401562",1.07503314377336,1.47359984758982
"1081",1.13904897056234,1.47147989171784
"9543",3.32700963337244,1.46851927107925
"1114",3.10908706855955,1.46837617653876
"5196",1.34064075306687,1.46474836269871
"248",1.36078895764272,1.4635140003552
"340273",2.41879018159218,1.45887659035633
"89780",1.13392227288602,1.45814994955492
"341405",1.23866853381971,1.45807818917294
"2813",2.22982259567565,1.45786002805792
"8120",1.57768782902932,1.4559605084037
"7032",4.05774784823888,1.45525240548113
"22871",1.22893374865799,1.45280830388876
"3866",1.19303680757965,1.45263230780243
"89872",2.91808886514258,1.45221147397933
"6708",1.08981667587395,1.45013129151938
"654463",1.7373626777437,1.44786417788832
"1135",1.53236829143638,1.44741872664526
"6528",1.76318310565096,1.44735533040372
"375323",1.42305807537307,1.44690918699307
"3747",1.07726401910339,1.44665015297449
"118611",1.37699357087308,1.44642827637398
"51725",7.61350517526507,1.44609258714814
"114824",1.76947207786741,1.44447418231105
"440563",3.75959406333509,1.44389831349841
"4504",1.36868075999501,1.44379440341516
"6101",1.02880712235317,1.44015061122722
"114815",2.59312310650401,1.43973385277656
"1258",1.38115666053066,1.43951713676041
"9506",1.05658992367238,1.43853938844205
"3763",1.03956771416643,1.43680376158714
"2899",1.19185230578111,1.43413668966719
"2020",1.50246885221914,1.43313995376865
"11148",1.18486896249274,1.4310386394937
"145258",1.14605645750099,1.43019088887317
"29850",1.09868788226064,1.42930671578705
"181",1.27605412765481,1.42834911797948
"5063",3.4383870145676,1.42823820805794
"133558",1.12794168763286,1.42688368898525
"6975",1.09810616069925,1.42395434600327
"779",1.32141886115194,1.4183006924451
"2254",8.14299207356691,1.41668914786184
"389384",1.2007549228017,1.41636669455104
"10332",1.72432480766985,1.4153687190007
"269",4.14136466363296,1.413381833297
"10886",1.47523027905813,1.41148722924956
"3854",1.08875327989917,1.41017846064921
"5083",1.6582051007716,1.40840436528901
"8091",3.05233439208455,1.40754832582028
"401250",1.07828263746407,1.40694375561573
"23544",2.56996205427674,1.4065001066923
"284293",1.33685294887607,1.40589239268631
"2902",1.84682339148616,1.40539959263443
"149954",1.13122396905984,1.40505005428481
"419",1.11401999425992,1.40338954337112
"222",1.91722177078997,1.40221639410718
"3218",2.05651563676323,1.40214715495563
"11227",4.20996873175173,1.3998437924558
"162998",1.21202965359876,1.39981791894888
"5122",1.07640494605832,1.396045606677
"92235",1.45846204993985,1.39598098656594
"284525",1.43262444877646,1.39460371780512
"199713",2.39787364515442,1.39438175482637
"200150",6.30850024928994,1.39228667907872
"171022",1.11656959989299,1.3910123977276
"3207",1.37069858070646,1.38913195227532
"157310",1.26157020558931,1.3885570298446
"55567",1.04528367315567,1.38764641419077
"55531",1.82308654716031,1.38638608959973
"158511",1.28684574526566,1.38552712427724
"3225",1.56774701713385,1.38429485861967
"284434",1.06191150668472,1.3790903834435
"8193",2.52983748778855,1.37855915716261
"399888",4.8885012154912,1.37840038293846
"400823",3.37196412966888,1.37828664636065
"4477",1.02514900316164,1.37435527651768
"340206",1.27620314224252,1.37300309628994
"90342",1.33581578572392,1.37251677153093
"220382",3.47260666612968,1.37170877736526
"89766",1.07540672600952,1.36923246184187
"133396",3.61664581966309,1.36903100741861
"1474",1.79899484351736,1.36811678534806
"10804",1.24140622972519,1.36798812484669
"6549",1.59387513466762,1.36783484774702
"284680",1.0982146140164,1.36550597205817
"149685",1.48855253546838,1.36544035059765
